Year Acquired,Square Footage
1753-01-01,1200.0
1802-01-01,4440.0
1810-01-01,4033.0
1832-01-01,120000.0
1837-01-01,10302.0
1838-01-01,2010.0
1839-01-01,11752.0
1840-01-01,36918.0
1841-01-01,3256.0
1843-01-01,900.0
1844-01-01,4088.0
1845-01-01,65846.0
1848-01-01,21292.0
1850-01-01,2267.0
1853-01-01,255000.0
1854-01-01,2140.0
1855-01-01,66154.0
1856-01-01,750.0
1857-01-01,18124.0
1858-01-01,22367.0
1859-01-01,4847.0
1860-01-01,27417.0
1863-01-01,15795.0
1865-01-01,223494.0
1867-01-01,2700.0
1870-01-01,2864.0
1871-01-01,6403.0
1872-01-01,14900.0
1873-01-01,11000.0
1874-01-01,6600.0
1875-01-01,3808.0
1876-01-01,404280.0
1878-01-01,33071.0
1880-01-01,179833.0
1881-01-01,6671.0
1882-01-01,59266.0
1883-01-01,8725.0
1885-01-01,30157.0
1886-01-01,168370.0
1887-01-01,194823.0
1888-01-01,84924.0
1890-01-01,86334.0
1891-01-01,2325.0
1892-01-01,151480.0
1893-01-01,39590.0
1894-01-01,85000.0
1895-01-01,225677.0
1896-01-01,290165.0
1897-01-01,132907.0
1898-01-01,36760.0
1899-01-01,121475.0
1900-01-01,335835.0
1901-01-01,109486.0
1902-01-01,269725.0
1903-01-01,160584.0
1904-01-01,40964.0
1905-01-01,312886.0
1906-01-01,20374.0
1907-01-01,133285.0
1908-01-01,360252.0
1909-01-01,298283.0
1910-01-01,231411.0
1911-01-01,237722.0
1912-01-01,422812.0
1913-01-01,158710.0
1914-01-01,334106.0
1915-01-01,532051.0
1916-01-01,210013.0
1917-01-01,32976.0
1918-01-01,42603.0
1919-01-01,64878.0
1920-01-01,402059.0
1921-01-01,187510.0
1922-01-01,171594.0
1923-01-01,549360.0
1924-01-01,126337.0
1925-01-01,569198.0
1926-01-01,1088997.0
1927-01-01,637645.0
1928-01-01,528122.0
1929-01-01,792329.0
1930-01-01,841869.0
1931-01-01,1018630.0
1932-01-01,414073.0
1933-01-01,68963.0
1934-01-01,176049.0
1935-01-01,692530.0
1936-01-01,663400.0
1937-01-01,926296.0
1938-01-01,1113321.0
1939-01-01,351573.0
1940-01-01,1292200.0
1941-01-01,345810.0
1942-01-01,243070.0
1943-01-01,57618.0
1944-01-01,44602.0
1945-01-01,190079.0
1946-01-01,58800.0
1947-01-01,164730.0
1948-01-01,378407.0
1949-01-01,903558.0
1950-01-01,1191430.0
1951-01-01,585533.0
1952-01-01,1153988.0
1953-01-01,491496.0
1954-01-01,763932.0
1955-01-01,814221.0
1956-01-01,1160035.0
1957-01-01,926481.0
1958-01-01,945126.0
1959-01-01,1473793.0
1960-01-01,954710.0
1961-01-01,832336.0
1962-01-01,1283527.0
1963-01-01,2426638.0
1964-01-01,2511989.0
1965-01-01,4236653.0
1966-01-01,2172950.0
1967-01-01,2379212.0
1968-01-01,1666198.0
1969-01-01,2205873.0
1970-01-01,1983743.0
1971-01-01,2575624.0
1972-01-01,1889175.0
1973-01-01,1218179.0
1974-01-01,959956.0
1975-01-01,1395013.0
1976-01-01,1413192.0
1977-01-01,1176456.0
1978-01-01,959744.0
1979-01-01,381181.0
1980-01-01,413474.0
1981-01-01,1759081.0
1982-01-01,812991.0
1983-01-01,680566.0
1984-01-01,1952554.0
1985-01-01,2011732.0
1986-01-01,962247.0
1987-01-01,1355701.0
1988-01-01,486223.0
1989-01-01,2185700.0
1990-01-01,2209048.0
1991-01-01,1653847.0
1992-01-01,900610.0
1993-01-01,351998.0
1994-01-01,435657.0
1995-01-01,877396.0
1996-01-01,1351591.0
1997-01-01,1110664.0
1998-01-01,731394.0
1999-01-01,364417.0
2000-01-01,1248787.0
2001-01-01,1329954.0
2002-01-01,1036110.0
2003-01-01,1041629.0
2004-01-01,575251.0
2005-01-01,1494411.0
2006-01-01,621710.0
2007-01-01,995526.0
2008-01-01,160223.0
2009-01-01,259724.0
2010-01-01,378725.0
2011-01-01,152953.0
2012-01-01,250113.0
2013-01-01,391485.0
2014-01-01,664298.0
2015-01-01,305093.0
2016-01-01,304839.0
2017-01-01,6720.0
2018-01-01,17160.0
2019-01-01,1520.0
